Obs,experiment,year,treatment,plot,subplot_id,id,sampling,height_25,height_46,height_67
524,DN14,2014,sparse,32,32111,RIL_115,unknown,7.68877322829818,30.9107023708803,32.2667223922505
525,DN14,2014,sparse,32,32112,RIL_096,unknown,7.54619946836232,34.357247176998,34.5262509713227
526,DN14,2014,sparse,32,32113,RIL_185,unknown,7.23081862059459,43.5188331917107,42.0599916532456
527,DN14,2014,sparse,32,32114,RIL_025,unknown,7.32721702504275,41.0863580393125,34.687841426976
528,DN14,2014,sparse,32,32115,RIL_011,unknown,6.76286915235877,37.2900191258503,38.8200875494167
529,DN14,2014,sparse,32,32116,RIL_208,unknown,9.02265760928006,46.7579495886755,46.2920557900964
530,DN14,2014,sparse,32,32117,RIL_085,unknown,8.5304219802077,26.472495623582,29.43945061326
531,DN14,2014,sparse,32,32118,RIL_056,unknown,6.87925727787138,33.4114158835712,35.5417100694861
532,DN14,2014,sparse,32,32119,RIL_053,unknown,6.42693838804321,32.8706033180266,42.3869866686034
533,DN14,2014,sparse,32,32120,RIL_031,unknown,10.5193542175616,37.5196346856756,41.6170261020689
534,DN14,2014,sparse,32,32121,RIL_129,unknown,6.38512217521231,39.0398901134554,40.1493802604935
535,DN14,2014,sparse,32,32122,RIL_036,unknown,8.7896326119555,38.2814605051644,41.5077271266631
536,DN14,2014,sparse,32,32123,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
537,DN14,2014,sparse,32,32124,RIL_035,unknown,NA,39.3050359095544,38.4350150938665
538,DN14,2014,sparse,32,32125,RIL_087,unknown,6.87735780428466,20.368733860171,NA
539,DN14,2014,sparse,32,32126,A10,unknown,7.80436476228835,16.0016399192408,NA
540,DN14,2014,sparse,32,32127,RIL_218,unknown,NA,31.3795480251813,35.9478190955303
541,DN14,2014,sparse,32,32128,RIL_168,unknown,6.34489398678408,37.777988059379,40.3061149108709
542,DN14,2014,sparse,32,32129,RIL_200,unknown,6.32490426571963,43.2292492377208,42.526834920887
543,DN14,2014,sparse,32,32130,RIL_019,unknown,8.62682038465585,34.7689402076188,38.1017308914348
544,DN14,2014,sparse,32,32131,RIL_113,unknown,10.4407973142918,37.5447557264894,37.2828540877458
545,DN14,2014,sparse,32,32132,RIL_128,unknown,8.94030175883689,48.0320707216973,48.4573860313182
546,DN14,2014,sparse,32,32133,RIL_193,unknown,8.61087835706416,45.7014454984001,49.8130915310799
547,DN14,2014,sparse,32,32134,RIL_161,unknown,4.49283708860592,30.693085328134,38.4010314600927
548,DN14,2014,sparse,32,32135,RIL_066,unknown,7.63665070575101,39.6954545699693,40.7584233834674
549,DN14,2014,sparse,32,32136,RIL_196,unknown,11.0253836543396,29.7937675653839,33.8283831025052
550,DN14,2014,sparse,32,32137,RIL_160,unknown,8.60894524841824,48.6289182852857,44.8342869797213
551,DN14,2014,sparse,32,32138,RIL_116,unknown,7.75708652473637,32.697801700358,38.0006303436151
552,DN14,2014,sparse,32,32139,RIL_006,unknown,8.58446444084676,39.3249358548195,41.6288102754844
553,DN14,2014,sparse,32,32140,RIL_070,unknown,6.80499681437372,31.3554422070435,36.379151862225
554,DN14,2014,sparse,32,32141,RIL_092,unknown,9.07882782529999,40.7787778066575,40.7681032486311
555,DN14,2014,sparse,32,32142,RIL_106,unknown,5.54942059036225,34.1637359523895,34.687718822397
556,DN14,2014,sparse,32,32143,RIL_075,unknown,5.74841331261738,17.0888811322491,NA
557,DN14,2014,sparse,32,32144,A10,unknown,7.80436476228835,16.0016399192408,NA
558,DN14,2014,sparse,32,32145,RIL_159,unknown,7.22272323364907,37.4635795341668,38.774804573326
559,DN14,2014,sparse,32,32146,RIL_180,unknown,9.30590565556506,42.0512008340804,42.5480867059404
560,DN14,2014,sparse,32,32147,RIL_210,unknown,NA,46.4452750392238,55.2741743178531
561,DN14,2014,sparse,32,32148,RIL_059,unknown,7.61856045827328,45.2835248086495,44.6549434494232
562,DN14,2014,sparse,32,32149,RIL_077,unknown,5.82267377611505,36.7064614412594,36.8779041151373
563,DN14,2014,sparse,32,32150,RIL_105,unknown,7.99415921553369,38.0945112782563,39.1236326512445
564,DN14,2014,sparse,32,32151,RIL_099,unknown,6.65027997401958,35.7376296729946,35.2724401155802
565,DN14,2014,sparse,32,32152,RIL_026,unknown,7.13442021614643,35.688402814043,38.6786824353613
566,DN14,2014,sparse,32,32153,RIL_175,unknown,8.77154236447777,34.9696943140331,36.2364942093589
567,DN14,2014,sparse,32,32154,RIL_134,unknown,8.47829945766052,48.979600120723,57.2899764416276
568,DN14,2014,sparse,32,32155,RIL_014,unknown,7.24890886807233,36.0693157237875,43.7096232542637
569,DN14,2014,sparse,32,32156,A10,unknown,NA,16.0016399192408,NA
570,DN14,2014,sparse,32,32157,RIL_126,unknown,7.98226488141476,27.7663111408678,NA
571,DN14,2014,sparse,32,32158,RIL_206,unknown,10.1737400418978,39.0735016822637,41.472291174516
572,DN14,2014,sparse,32,32159,RIL_024,unknown,7.16060585056968,39.5460758875157,40.4036113168308
573,DN14,2014,sparse,32,32160,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
